Municipio,Total 2010,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2011,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2012,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2013,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2014,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2015,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2016,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2017,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado
Acatic,473,5,71,381,15,1,481,0,91,376,10,4,476,3,79,373,18,3,458,0,71,366,19,2,459,0,87,356,14,2,448,0,74,366,8,0,453,5,65,373,10,0,464,1,67,390,4,2
Acatlán de Juárez,492,2,122,359,6,3,513,6,114,383,8,2,502,1,115,377,6,3,458,2,102,344,7,3,468,0,97,359,11,1,478,2,92,371,9,4,469,1,104,358,4,2,448,1,77,362,7,1
Ahualulco de Mercado,472,3,91,353,8,17,480,2,83,375,6,14,443,2,89,341,6,5,422,0,80,329,6,7,412,2,74,320,9,7,382,1,59,310,7,5,385,1,62,306,10,6,421,4,63,341,6,7
Amacueca,119,0,13,100,3,3,130,1,16,108,3,2,119,0,19,98,1,1,105,0,15,84,3,3,138,2,18,110,3,5,115,0,14,97,1,3,129,1,13,106,4,5,107,3,10,89,5,0
Amatitán,310,1,48,246,8,7,361,1,64,285,5,6,392,2,71,303,9,7,319,0,57,255,4,3,295,0,30,250,8,7,298,2,42,248,3,3,283,1,48,229,3,2,341,3,54,267,9,8
Ameca,1250,5,181,988,22,54,1158,1,177,922,24,34,1245,3,214,971,27,30,1021,2,175,818,18,8,1122,3,190,887,35,7,974,2,152,804,16,0,839,3,122,691,19,4,1012,10,159,797,17,29
San Juanito de Escobedo,169,1,32,130,3,3,147,0,30,115,1,1,161,1,29,126,3,2,167,0,35,131,1,0,164,0,30,124,1,9,171,0,39,129,1,2,162,1,32,123,3,3,177,1,34,136,4,2
Arandas,1814,3,201,1526,67,17,1758,3,168,1476,55,56,1645,3,183,1373,61,25,1800,1,198,1474,80,47,1597,1,191,1321,62,22,1618,1,201,1363,46,7,1635,0,187,1361,71,16,1717,18,164,1449,49,37
EL Arenal,417,0,93,310,3,11,450,2,74,354,8,12,430,2,82,334,7,5,423,1,80,324,12,6,481,2,88,366,11,14,452,1,87,350,6,8,409,2,72,313,15,7,470,7,89,346,9,19
Atemajac de Brizuela,213,0,45,151,1,16,211,1,46,138,1,25,180,0,48,125,3,4,162,0,33,116,2,11,190,1,46,136,2,5,200,1,37,150,2,10,172,2,32,133,3,2,179,3,38,129,4,5
