Entidad,Edad,Total,Hombres,Mujeres
14 Jalisco,Total,7844830,3835069,4009761
14 Jalisco,0 años,136877,68644,68233
14 Jalisco,1 año,134311,68340,65971
14 Jalisco,2 años,142897,71859,71038
14 Jalisco,3 años,146659,74745,71914
14 Jalisco,4 años,148602,75163,73439
14 Jalisco,5 años,147099,74404,72695
14 Jalisco,6 años,146249,73947,72302
14 Jalisco,7 años,146555,73543,73012
14 Jalisco,8 años,147239,75681,71558
14 Jalisco,9 años,142939,72493,70446
14 Jalisco,10 años,148963,74383,74580
14 Jalisco,11 años,145230,73166,72064
14 Jalisco,12 años,149367,74973,74394
14 Jalisco,13 años,145753,72709,73044
14 Jalisco,14 años,155581,78571,77010
14 Jalisco,15 años,148099,75326,72773
14 Jalisco,16 años,138200,69381,68819
14 Jalisco,17 años,141621,72004,69617
14 Jalisco,18 años,148971,75496,73475
14 Jalisco,19 años,138474,69353,69121
14 Jalisco,20 años,144448,71592,72856
14 Jalisco,21 años,135865,68001,67864
14 Jalisco,22 años,150199,76628,73571
14 Jalisco,23 años,140247,70497,69750
14 Jalisco,24 años,138766,68299,70467
14 Jalisco,25 años,135005,65942,69063
14 Jalisco,26 años,123821,58385,65436
14 Jalisco,27 años,125624,61998,63626
14 Jalisco,28 años,127791,62773,65018
14 Jalisco,29 años,115091,55040,60051
14 Jalisco,30 años,142463,68501,73962
14 Jalisco,31 años,101440,48865,52575
14 Jalisco,32 años,127595,61354,66241
14 Jalisco,33 años,111411,53821,57590
14 Jalisco,34 años,114168,55650,58518
14 Jalisco,35 años,117385,55195,62190
14 Jalisco,36 años,106418,50291,56127
14 Jalisco,37 años,108191,53799,54392
14 Jalisco,38 años,117413,56171,61242
14 Jalisco,39 años,102160,47860,54300
14 Jalisco,40 años,131001,64180,66821
14 Jalisco,41 años,88565,43252,45313
14 Jalisco,42 años,122997,61546,61451
14 Jalisco,43 años,98275,47965,50310
14 Jalisco,44 años,91972,43638,48334
14 Jalisco,45 años,102115,49777,52338
14 Jalisco,46 años,81444,38567,42877
14 Jalisco,47 años,81988,39744,42244
