,,Población total,Población masculina,Población femenina,Población de 0 a 2 años,Población masculina de 0 a 2 años,Población femenina de 0 a 2 años,Población de 3 años y más,Población masculina de 3 años y más,Población femenina de 3 años y más,Población de 5 años y más,Población masculina de 5 años y más,Población femenina de 5 años y más,Población de 12 años y más,Población masculina de 12 años y más,Población femenina de 12 años y más,Población de 15 años y más,Población masculina de 15 años y más,Población femenina de 15 años y más,Población de 18 años y más,Población masculina de 18 años y más,Población femenina de 18 años y más,Población de 3 a 5 años,Población masculina de 3 a 5 años,Población femenina de 3 a 5 años,Población de 6 a 11 años,Población masculina de 6 a 11 años,Población femenina de 6 a 11 años,Población de 8 a 14 años,Población masculina de 8 a 14 años,Población femenina de 8 a 14 años,Población de 12 a 14 años,Población masculina de 12 a 14 años,Población femenina de 12 a 14 años,Población de 15 a 17 años,Población masculina de 15 a 17 años,Población femenina de 15 a 17 años,Población de 18 a 24 años,Población masculina de 18 a 24 años,Población femenina de 18 a 24 años,Población femenina de 15 a 49 años,Población de 60 años y más,Población masculina de 60 años y más,Población femenina de 60 años y más,Relación hombres-mujeres
14,Jalisco,7350682,3600641,3750041,406862,207148,199714,6857151,3350163,3506988,6569065,3203560,3365505,5549002,2685806,2863196,5127597,2472155,2655442,4696129,2253813,2442316,430553,219149,211404,877596,445208,432388,1008948,512050,496898,421405,213651,207754,431468,218342,213126,952623,470978,481645,1990021,671323,312067,359256,96.02
1,Acatic,21206,10348,10858,1383,706,677,19818,9642,10176,18921,9185,9736,15555,7424,8131,14240,6768,7472,12869,6098,6771,1355,692,663,2908,1526,1382,3257,1662,1595,1315,656,659,1371,670,701,2756,1292,1464,5599,2110,1018,1092,95.3
2,Acatlán de Juárez,23241,12220,11021,1259,629,630,21919,11562,10357,21005,11106,9899,17830,9483,8347,15578,7885,7693,13598,6629,6969,1342,674,668,2747,1405,1342,4087,2532,1555,2252,1598,654,1980,1256,724,2776,1444,1332,5832,1999,970,1029,110.88
3,Ahualulco de Mercado,21714,10677,11037,1240,652,588,20439,10009,10430,19614,9597,10017,16613,8077,8536,15338,7410,7928,13976,6746,7230,1220,617,603,2606,1315,1291,3029,1552,1477,1275,667,608,1362,664,698,2661,1302,1359,5633,2620,1305,1315,96.74
4,Amacueca,5545,2674,2871,324,167,157,5206,2503,2703,5002,2400,2602,4275,2016,2259,3955,1854,2101,3628,1689,1939,310,157,153,621,330,291,740,394,346,320,162,158,327,165,162,703,345,358,1437,762,371,391,93.14
5,Amatitán,14648,7273,7375,896,438,458,13728,6823,6905,13075,6487,6588,10748,5325,5423,9853,4886,4967,8919,4407,4512,992,508,484,1988,990,998,2216,1094,1122,895,439,456,934,479,455,1863,940,923,3816,1276,662,614,98.62
6,Ameca,57340,28013,29327,3121,1578,1543,53982,26317,27665,51845,25263,26582,44144,21380,22764,40971,19775,21196,37706,18139,19567,3156,1557,1599,6682,3380,3302,7632,3880,3752,3173,1605,1568,3265,1636,1629,6750,3305,3445,14805,7336,3555,3781,95.52
7,San Juanito de Escobedo,8896,4461,4435,509,271,238,8331,4164,4167,7978,3993,3985,6675,3313,3362,6129,3029,3100,5546,2742,2804,538,271,267,1118,580,538,1308,685,623,546,284,262,583,287,296,987,502,485,2121,1200,601,599,100.59
8,Arandas,72812,35135,37677,4285,2204,2081,68357,32851,35506,65361,31333,34028,53982,25565,28417,49380,23279,26101,44818,20938,23880,4551,2311,2240,9824,4975,4849,11175,5614,5561,4602,2286,2316,4562,2341,2221,9514,4398,5116,20138,6286,3005,3281,93.25
9,El Arenal,17545,8631,8914,1089,573,516,16157,7908,8249,15393,7540,7853,12780,6214,6566,11714,5712,6002,10570,5142,5428,1156,572,584,2221,1122,1099,2545,1245,1300,1066,502,564,1144,570,574,2179,1089,1090,4627,1504,748,756,96.83
